fecha,valor,completo_mediciones,completo_umbral
2000/01,,,
2000/02,,,
2000/03,,,
2000/04,,,
2000/05,,11.2,9.7
2000/06,55.50,99.9,100.0
2000/07,20.20,100.0,100.0
2000/08,4.10,100.0,100.0
2000/09,62.90,100.0,100.0
2000/10,65.90,100.0,100.0
2000/11,,54.6,43.3
2000/12,,66.8,64.5
2001/01,,44.3,12.9
2001/02,,27.7,25.0
2001/03,163.00,100.0,100.0
2001/04,54.00,100.0,100.0
2001/05,,75.8,74.2
2001/06,,70.8,66.7
2001/07,29.70,99.2,96.8
2001/08,0.20,100.0,100.0
2001/09,75.70,91.6,90.0
2001/10,,,
2001/11,,6.3,0.0
2001/12,109.50,100.0,100.0
2002/01,26.70,100.0,100.0
2002/02,61.10,100.0,100.0
2002/03,108.20,100.0,100.0
2002/04,223.40,97.5,93.3
2002/05,,68.8,67.7
2002/06,,,
2002/07,,,
2002/08,,,
2002/09,,,
2002/10,,,
2002/11,,,
2002/12,,,
2003/01,,54.8,54.8
2003/02,87.70,100.0,100.0
2003/03,102.00,100.0,100.0
2003/04,,75.0,73.3
2003/05,,,
2003/06,,,
2003/07,,46.0,45.2
2003/08,2.30,100.0,100.0
2003/09,,71.8,36.7
2003/10,,1.6,0.0
2003/11,139.70,100.0,100.0
2003/12,113.00,100.0,100.0
2004/01,49.70,100.0,100.0
2004/02,28.30,100.0,100.0
2004/03,53.40,100.0,100.0
2004/04,183.50,100.0,100.0
2004/05,118.60,100.0,100.0
2004/06,7.20,100.0,100.0
2004/07,,12.9,12.9
2004/08,,,
2004/09,68.30,100.0,100.0
2004/10,69.10,100.0,100.0
2004/11,105.30,100.0,100.0
2004/12,98.50,96.8,96.8
2005/01,28.70,100.0,100.0
2005/02,119.80,100.0,100.0
2005/03,97.00,100.0,100.0
2005/04,67.10,100.0,100.0
2005/05,28.50,100.0,100.0
2005/06,22.80,100.0,100.0
2005/07,,14.0,12.9
2005/08,,,
2005/09,24.70,100.0,100.0
2005/10,105.10,100.0,100.0
2005/11,42.10,99.9,100.0
2005/12,58.00,87.1,87.1
2006/01,,76.3,74.2
2006/02,57.30,100.0,100.0
2006/03,166.50,100.0,100.0
2006/04,123.60,100.0,100.0
2006/05,118.70,100.0,100.0
2006/06,33.50,100.0,100.0
2006/07,2.70,100.0,100.0
2006/08,3.40,100.0,100.0
2006/09,20.10,100.0,100.0
2006/10,89.10,100.0,100.0
2006/11,145.40,100.0,100.0
2006/12,131.10,100.0,100.0
2007/01,93.10,100.0,100.0
2007/02,62.40,100.0,100.0
2007/03,133.80,100.0,100.0
2007/04,188.30,100.0,100.0
2007/05,56.70,100.0,100.0
2007/06,25.50,100.0,100.0
2007/07,14.30,100.0,100.0
2007/08,24.40,100.0,100.0
2007/09,2.70,100.0,100.0
2007/10,136.20,100.0,100.0
2007/11,,73.3,73.3
2007/12,,61.3,61.3
2008/01,,19.4,19.4
2008/02,92.00,100.0,100.0
2008/03,137.60,100.0,100.0
2008/04,159.40,100.0,100.0
2008/05,125.20,100.0,100.0
2008/06,56.10,100.0,100.0
2008/07,9.80,100.0,100.0
2008/08,30.10,100.0,100.0
2008/09,38.40,100.0,100.0
2008/10,218.20,100.0,100.0
2008/11,72.60,80.0,80.0
2008/12,119.20,98.3,96.8
2009/01,146.60,100.0,100.0
2009/02,96.20,100.0,100.0
2009/03,132.60,100.0,100.0
2009/04,101.10,100.0,100.0
2009/05,29.00,100.0,100.0
2009/06,13.80,100.0,100.0
2009/07,2.10,100.0,100.0
2009/08,1.40,100.0,100.0
2009/09,8.40,92.1,90.0
2009/10,80.90,100.0,100.0
2009/11,22.50,89.4,80.0
2009/12,115.30,97.0,93.5
2010/01,12.00,100.0,100.0
2010/02,54.40,100.0,100.0
2010/03,,48.4,48.4
2010/04,95.70,82.2,80.0
2010/05,135.70,100.0,100.0
2010/06,42.30,100.0,100.0
2010/07,99.90,100.0,100.0
2010/08,72.90,100.0,100.0
2010/09,71.10,100.0,100.0
2010/10,54.90,100.0,100.0
2010/11,181.90,100.0,100.0
2010/12,185.20,100.0,100.0
2011/01,102.30,100.0,100.0
2011/02,,62.4,60.7
2011/03,123.90,87.1,87.1
2011/04,327.70,100.0,100.0
2011/05,47.30,100.0,100.0
2011/06,30.90,100.0,100.0
2011/07,101.70,100.0,100.0
2011/08,,57.5,58.1
2011/09,,72.3,70.0
2011/10,59.90,100.0,100.0
2011/11,,30.0,30.0
2011/12,,29.0,29.0
2012/01,133.80,100.0,100.0
2012/02,89.40,100.0,100.0
2012/03,130.70,100.0,100.0
2012/04,182.50,100.0,100.0
2012/05,24.00,100.0,100.0
2012/06,32.40,100.0,100.0
2012/07,2.40,100.0,100.0
2012/08,4.50,100.0,100.0
2012/09,16.50,100.0,100.0
2012/10,110.20,100.0,100.0
2012/11,147.20,100.0,100.0
2012/12,65.60,100.0,100.0
2013/01,37.00,100.0,100.0
2013/02,164.50,100.0,100.0
2013/03,61.90,100.0,100.0
2013/04,101.50,100.0,100.0
2013/05,90.80,100.0,100.0
2013/06,0.60,100.0,100.0
2013/07,1.50,100.0,100.0
2013/08,26.90,100.0,100.0
2013/09,19.70,100.0,100.0
2013/10,106.40,100.0,100.0
2013/11,49.10,100.0,100.0
2013/12,54.20,100.0,100.0
2014/01,98.80,100.0,100.0
2014/02,56.60,100.0,100.0
2014/03,162.50,100.0,100.0
2014/04,53.00,100.0,100.0
2014/05,142.30,100.0,100.0
2014/06,7.60,100.0,100.0
2014/07,0.00,100.0,100.0
2014/08,0.00,100.0,100.0
2014/09,68.50,100.0,100.0
2014/10,172.00,100.0,100.0
2014/11,59.40,100.0,100.0
2014/12,16.70,100.0,100.0
2015/01,56.50,100.0,100.0
2015/02,81.50,100.0,100.0
2015/03,114.20,100.0,100.0
2015/04,54.50,100.0,100.0
2015/05,25.40,100.0,100.0
2015/06,2.20,100.0,100.0
2015/07,13.60,100.0,100.0
2015/08,2.20,100.0,100.0
2015/09,1.80,100.0,100.0
2015/10,96.90,100.0,100.0
2015/11,59.30,100.0,100.0
2015/12,27.40,100.0,100.0
2016/01,,65.7,64.5
2016/02,21.10,100.0,100.0
2016/03,91.70,100.0,100.0
2016/04,180.00,100.0,100.0
2016/05,65.30,100.0,100.0
2016/06,29.20,100.0,100.0
2016/07,1.20,100.0,100.0
2016/08,20.90,100.0,100.0
2016/09,50.10,100.0,100.0
2016/10,77.40,100.0,100.0
2016/11,19.70,100.0,100.0
2016/12,66.70,100.0,100.0
2017/01,183.70,100.0,100.0
2017/02,132.80,100.0,100.0
2017/03,302.10,100.0,100.0
2017/04,114.50,100.0,100.0
2017/05,151.80,100.0,100.0
2017/06,57.60,100.0,100.0
2017/07,0.00,100.0,100.0
2017/08,51.20,100.0,100.0
2017/09,17.80,100.0,100.0
2017/10,162.60,100.0,100.0
2017/11,40.50,100.0,100.0
2017/12,133.60,100.0,100.0
2018/01,116.50,100.0,100.0
2018/02,125.60,100.0,100.0
2018/03,110.00,100.0,100.0
2018/04,111.90,100.0,100.0
2018/05,125.70,100.0,100.0
2018/06,18.70,100.0,100.0
2018/07,18.50,100.0,100.0
2018/08,13.90,100.0,100.0
2018/09,24.90,99.8,100.0
2018/10,4.50,87.5,83.9
2018/11,,45.5,43.3
2018/12,,64.6,64.5
2019/01,48.80,99.1,96.8
2019/02,,50.6,46.4
2019/03,122.50,97.9,96.8
2019/04,97.90,99.9,100.0
2019/05,21.10,97.5,100.0
2019/06,11.60,99.6,100.0
2019/07,6.80,99.6,100.0
2019/08,0.00,99.9,100.0
2019/09,40.20,100.0,100.0
2019/10,41.90,99.7,100.0
2019/11,119.30,96.3,100.0
2019/12,90.90,99.7,100.0
2020/01,139.00,97.9,100.0
2020/02,13.40,96.8,100.0
2020/03,103.80,99.4,100.0
2020/04,107.80,100.0,100.0
2020/05,41.10,100.0,100.0
2020/06,39.20,98.1,100.0
2020/07,36.60,95.2,96.8
2020/08,33.30,98.3,100.0
2020/09,46.10,99.5,100.0
2020/10,45.90,98.5,100.0
2020/11,80.50,99.5,100.0
2020/12,59.90,98.9,100.0
2021/01,30.60,100.0,100.0
2021/02,37.90,99.9,100.0
2021/03,204.80,89.5,90.3
2021/04,173.00,97.1,96.7
2021/05,99.70,99.9,100.0
2021/06,90.70,98.3,100.0
2021/07,9.50,99.1,100.0
2021/08,36.70,99.1,100.0
2021/09,73.20,99.6,100.0
2021/10,213.20,99.7,100.0
2021/11,136.80,100.0,100.0
2021/12,124.40,99.8,100.0
2022/01,110.70,99.8,100.0
2022/02,103.40,99.7,100.0
2022/03,165.10,100.0,100.0
2022/04,132.20,100.0,100.0
2022/05,49.00,99.6,100.0
2022/06,88.50,99.7,100.0
2022/07,29.00,99.9,100.0
2022/08,2.00,100.0,100.0
2022/09,16.90,99.9,100.0
2022/10,94.70,98.9,96.8
2022/11,67.80,99.2,100.0
2022/12,64.70,99.1,100.0
2023/01,132.90,99.3,100.0
2023/02,36.60,99.4,100.0
2023/03,184.50,97.8,100.0
2023/04,267.10,98.2,96.7
2023/05,83.20,99.6,100.0
2023/06,7.20,99.2,100.0
2023/07,49.10,98.7,100.0
2023/08,25.50,99.1,100.0
2023/09,16.60,97.9,100.0
2023/10,159.40,97.8,100.0
2023/11,78.30,98.6,100.0
2023/12,191.30,99.1,100.0
2024/01,24.10,98.8,100.0
2024/02,168.70,99.0,100.0
2024/03,114.10,98.8,100.0
2024/04,222.70,98.4,100.0
2024/05,49.90,99.8,100.0
2024/06,64.90,99.8,100.0
2024/07,11.80,99.7,100.0
2024/08,6.00,99.3,100.0
2024/09,43.60,99.6,100.0
2024/10,151.90,99.7,100.0
2024/11,14.20,97.4,93.3
2024/12,157.20,99.6,100.0
2025/01,133.20,99.7,100.0
2025/02,210.20,99.8,100.0
2025/03,434.80,94.8,90.3
2025/04,143.80,99.9,100.0
2025/05,100.20,99.9,100.0
2025/06,68.30,99.8,100.0
2025/07,,,
