fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2000/01,,,,,
2000/02,,,,,
2000/03,,,,,
2000/04,,,,,
2000/05,,,,14.4,12.9
2000/06,179.718444,1029.220000,0.000000,100.0,100.0
2000/07,186.173468,1028.870000,0.000000,100.0,100.0
2000/08,209.800329,1031.310000,0.000000,99.9,100.0
2000/09,194.475806,1031.660000,0.000000,100.0,100.0
2000/10,231.110968,1032.000000,0.000000,100.0,100.0
2000/11,,,,48.1,46.7
2000/12,,,,12.0,0.0
2001/01,,,,43.9,16.1
2001/02,198.335730,1033.050000,0.000000,85.9,75.0
2001/03,174.206909,1030.260000,0.000000,100.0,100.0
2001/04,182.625333,1032.700000,0.000000,100.0,100.0
2001/05,170.655968,1031.660000,0.000000,100.0,100.0
2001/06,176.748306,1027.480000,0.000000,100.0,100.0
2001/07,,,,64.0,64.5
2001/08,234.654610,1029.570000,0.000000,100.0,100.0
2001/09,191.818944,1030.960000,0.000000,100.0,100.0
2001/10,255.288078,1036.180000,0.000000,100.0,100.0
2001/11,191.344222,1033.400000,0.000000,100.0,100.0
2001/12,194.723857,1034.440000,0.000000,100.0,100.0
2002/01,,,,23.8,22.6
2002/02,175.470833,1031.310000,0.000000,100.0,100.0
2002/03,176.129625,1029.220000,0.000000,99.7,100.0
2002/04,164.568569,1031.660000,0.000000,100.0,100.0
2002/05,185.238723,1029.220000,0.000000,100.0,100.0
2002/06,199.933653,1028.870000,0.000000,100.0,100.0
2002/07,205.796036,1033.400000,0.000000,99.7,100.0
2002/08,239.122796,1034.090000,0.000000,100.0,100.0
2002/09,228.885556,1032.350000,0.000000,100.0,100.0
2002/10,200.892151,1033.050000,0.000000,100.0,100.0
2002/11,,,,37.9,36.7
2002/12,,,,,
2003/01,,,,54.8,54.8
2003/02,211.563796,1035.830000,0.000000,97.6,96.4
2003/03,,,,,
2003/04,,,,,
2003/05,,,,,
2003/06,,,,,
2003/07,,,,,
2003/08,,,,,
2003/09,,,,40.0,30.0
2003/10,,,,1.5,0.0
2003/11,190.394820,1032.350000,0.000000,100.0,100.0
2003/12,184.349892,1031.660000,0.000000,100.0,100.0
2004/01,220.266343,1031.310000,0.000000,88.4,87.1
2004/02,,,,51.7,51.7
2004/03,193.771452,1032.700000,0.000000,100.0,100.0
2004/04,163.910070,1030.260000,0.000000,100.0,100.0
2004/05,174.369983,1031.660000,0.000000,78.5,77.4
2004/06,,,,,
2004/07,,,,,
2004/08,,,,,
2004/09,,,,,
2004/10,,,,,
2004/11,,,,,
2004/12,,,,,
2005/01,,,,,
2005/02,,,,,
2005/03,,,,,
2005/04,,,,,
2005/05,,,,,
2005/06,,,,,
2005/07,,,,,
2005/08,,,,,
2005/09,,,,,
2005/10,,,,,
2005/11,,,,,
2005/12,,,,,
2006/01,,,,,
2006/02,,,,,
2006/03,,,,,
2006/04,,,,,
2006/05,,,,,
2006/06,,,,,
2006/07,,,,,
2006/08,,,,,
2006/09,,,,,
2006/10,,,,,
2006/11,,,,,
2006/12,,,,,
2007/01,,,,,
2007/02,,,,,
2007/03,,,,,
2007/04,,,,,
2007/05,,,,,
2007/06,,,,,
2007/07,,,,,
2007/08,,,,,
2007/09,,,,,
2007/10,,,,,
2007/11,,,,,
2007/12,,,,,
2008/01,,,,,
2008/02,,,,,
2008/03,,,,,
2008/04,,,,,
2008/05,,,,,
2008/06,,,,,
2008/07,,,,,
2008/08,,,,,
2008/09,,,,,
2008/10,,,,,
2008/11,,,,,
2008/12,,,,,
2009/01,,,,,
2009/02,,,,,
2009/03,,,,,
2009/04,,,,,
2009/05,,,,,
2009/06,,,,,
2009/07,,,,,
2009/08,,,,,
2009/09,,,,,
2009/10,,,,,
2009/11,,,,,
2009/12,,,,,
2010/01,,,,,
2010/02,,,,,
2010/03,,,,13.6,0.0
2010/04,,,,32.6,23.3
2010/05,160.760350,1029.920000,0.000000,100.0,100.0
2010/06,155.818778,1028.520000,0.000000,100.0,100.0
2010/07,177.124234,1025.390000,0.000000,100.0,100.0
2010/08,187.606801,1029.220000,0.000000,100.0,100.0
2010/09,199.726278,1026.430000,0.000000,100.0,100.0
2010/10,,,,14.4,12.9
2010/11,,,,,
2010/12,,,,,
2011/01,,,,21.0,19.4
2011/02,163.016243,1026.780000,0.000000,100.0,100.0
2011/03,159.799007,1024.000000,0.000000,81.1,80.6
2011/04,134.250146,1025.740000,0.000000,100.0,100.0
2011/05,186.725948,1028.520000,0.000000,100.0,100.0
2011/06,170.283853,1025.740000,0.000000,100.0,100.0
2011/07,157.247157,1024.690000,0.000000,90.1,87.1
2011/08,211.491736,1027.130000,0.000000,100.0,100.0
2011/09,207.056787,1028.180000,0.000000,96.3,93.3
2011/10,,,,37.0,35.5
2011/11,,,,25.2,23.3
2011/12,166.003858,1030.960000,0.000000,97.7,96.8
2012/01,139.711790,1030.960000,0.000000,100.0,100.0
2012/02,141.949913,1026.090000,0.000000,100.0,100.0
2012/03,181.521783,1030.610000,0.000000,100.0,100.0
2012/04,129.373494,1027.480000,0.000000,89.7,86.7
2012/05,162.256416,1027.830000,0.000000,100.0,100.0
2012/06,186.289616,1028.180000,0.000000,100.0,100.0
2012/07,198.579411,1028.520000,0.000000,100.0,100.0
2012/08,211.320418,1029.920000,0.000000,99.2,100.0
2012/09,265.662423,1032.350000,0.000000,100.0,100.0
2012/10,190.200696,1032.700000,0.000000,100.0,100.0
2012/11,155.311629,1031.310000,0.000000,99.4,100.0
2012/12,185.377029,1033.740000,0.000000,96.7,96.8
2013/01,194.205038,1035.830000,0.000000,99.9,100.0
2013/02,137.539805,1030.260000,0.000000,99.1,100.0
2013/03,177.466257,1031.310000,0.000000,99.2,100.0
2013/04,,,,18.7,16.7
2013/05,,,,,
2013/06,,,,,
2013/07,,,,,
2013/08,,,,,
2013/09,,,,,
2013/10,,,,,
2013/11,,,,,
2013/12,,,,,
2014/01,,,,,
2014/02,,,,,
2014/03,,,,,
2014/04,,,,,
2014/05,,,,,
2014/06,,,,,
2014/07,,,,,
2014/08,,,,,
2014/09,,,,62.8,60.0
2014/10,,,,,
2014/11,,,,,
2014/12,,,,,
2015/01,,,,,
2015/02,,,,56.7,53.6
2015/03,,,,7.7,6.5
2015/04,,,,,
2015/05,,,,,
2015/06,,,,,
2015/07,,,,,
2015/08,,,,,
2015/09,,,,,
2015/10,,,,,
2015/11,,,,,
2015/12,,,,33.6,32.3
2016/01,,,,42.3,38.7
2016/02,175.601848,1034.090000,0.000000,100.0,100.0
2016/03,,,,64.8,64.5
2016/04,,,,38.0,36.7
2016/05,,,,,
2016/06,,,,,
2016/07,,,,,
2016/08,,,,,
2016/09,,,,40.5,40.0
2016/10,,,,39.8,38.7
2016/11,,,,44.6,43.3
2016/12,85.108036,352.590000,0.000000,86.9,83.9
2017/01,,,,14.5,12.9
2017/02,,,,61.2,60.7
2017/03,121.091612,849.270000,0.000000,80.4,77.4
2017/04,,,,8.1,6.7
2017/05,,,,53.2,51.6
2017/06,,,,51.5,50.0
2017/07,,,,,
2017/08,,,,,
2017/09,,,,,
2017/10,,,,,
2017/11,,,,4.6,3.3
2017/12,171.684476,1280.000000,0.000000,100.0,100.0
2018/01,160.059924,1246.000000,0.000000,100.0,100.0
2018/02,164.110417,1268.000000,0.000000,100.0,100.0
2018/03,191.969982,1295.000000,0.000000,100.0,100.0
2018/04,169.478974,1244.000000,0.000000,100.0,100.0
2018/05,152.781586,1208.000000,0.000000,100.0,100.0
2018/06,187.929524,1153.000000,0.000000,100.0,100.0
2018/07,205.464777,1132.000000,0.000000,88.5,87.1
2018/08,234.837675,1226.000000,0.000000,89.7,87.1
2018/09,224.924628,1280.000000,0.000000,99.4,100.0
2018/10,182.086450,1205.000000,0.000000,89.5,90.3
2018/11,117.736843,1180.000000,0.000000,94.7,100.0
2018/12,152.557859,1142.123000,0.000000,98.9,100.0
2019/01,151.596204,1175.000000,0.000000,97.1,100.0
2019/02,,,,50.6,46.4
2019/03,169.223336,1179.000000,0.000000,97.9,96.8
2019/04,149.464036,1116.000000,0.000000,100.0,100.0
2019/05,153.155456,1102.000000,0.000000,99.8,100.0
2019/06,167.978767,1079.000000,0.000000,100.0,100.0
2019/07,185.097202,1219.000000,0.000000,100.0,100.0
2019/08,223.766974,1102.000000,0.000000,99.8,100.0
2019/09,200.616225,1110.000000,0.000000,99.9,100.0
2019/10,163.782011,1211.000000,0.000000,99.7,100.0
2019/11,139.820336,1129.000000,0.000000,96.0,100.0
2019/12,149.394333,1199.000000,0.000000,99.6,100.0
2020/01,174.407921,1163.000000,0.000000,97.7,100.0
2020/02,171.593332,1146.000000,0.000000,96.5,100.0
2020/03,183.144100,1336.000000,0.000000,99.3,100.0
2020/04,177.494644,1431.000000,0.000000,100.0,100.0
2020/05,190.578120,1240.000000,0.000000,100.0,100.0
2020/06,188.669717,1247.000000,0.000000,97.8,100.0
2020/07,178.877297,1252.000000,0.000000,94.8,100.0
2020/08,235.339267,1327.000000,0.000000,98.2,100.0
2020/09,224.611553,1338.000000,0.000000,99.5,100.0
2020/10,215.999723,1307.000000,0.000000,98.4,100.0
2020/11,172.364230,1235.000000,0.000000,99.5,100.0
2020/12,144.192821,1317.000000,0.000000,98.9,100.0
2021/01,153.503869,1272.000000,0.000000,100.0,100.0
2021/02,161.364852,1365.000000,0.000000,99.8,100.0
2021/03,141.840005,1271.000000,0.000000,97.6,100.0
2021/04,173.444520,1276.000000,0.000000,96.7,100.0
2021/05,177.024346,1271.000000,0.000000,99.9,100.0
2021/06,164.517527,1186.000000,0.000000,98.2,100.0
2021/07,193.040878,1215.000000,0.000000,99.0,100.0
2021/08,,,,52.1,51.6
2021/09,206.702579,1351.000000,0.000000,99.5,100.0
2021/10,187.098047,1332.000000,0.000000,99.7,100.0
2021/11,149.012279,1330.000000,0.000000,100.0,100.0
2021/12,156.709148,1253.000000,0.000000,99.8,100.0
2022/01,164.115073,1345.000000,0.000000,99.8,100.0
2022/02,154.298744,1351.000000,0.000000,99.7,100.0
2022/03,144.956205,1348.000000,0.000000,100.0,100.0
2022/04,166.959954,1350.000000,0.000000,99.9,100.0
2022/05,169.509557,1353.000000,0.000000,99.6,100.0
2022/06,163.060892,1351.000000,0.000000,99.7,100.0
2022/07,189.077696,1353.000000,0.000000,99.8,100.0
2022/08,218.967102,1353.000000,0.000000,99.9,100.0
2022/09,220.773742,1353.000000,0.000000,99.6,100.0
2022/10,178.616544,1353.000000,0.000000,98.1,100.0
2022/11,163.302879,1353.000000,0.000000,98.5,100.0
2022/12,179.113449,1353.000000,0.000000,98.6,100.0
2023/01,156.983564,1347.000000,0.000000,99.3,100.0
2023/02,196.258818,1353.000000,0.000000,99.2,100.0
2023/03,138.461474,1351.000000,0.000000,97.2,100.0
2023/04,174.043791,1353.000000,0.000000,98.0,100.0
2023/05,199.412564,1352.950000,0.000000,99.5,100.0
2023/06,211.881134,1350.000000,0.000000,99.0,100.0
2023/07,237.779866,1353.000000,0.000000,98.6,100.0
2023/08,233.845784,1353.000000,0.000000,99.0,100.0
2023/09,250.144158,1353.000000,0.000000,97.7,100.0
2023/10,195.273927,1352.000000,0.000000,97.5,100.0
2023/11,181.574608,1348.000000,0.000000,98.5,100.0
2023/12,153.111829,1352.618000,0.000000,99.1,100.0
2024/01,182.750199,1351.000000,0.000000,98.7,100.0
2024/02,172.852110,1353.000000,0.000000,98.9,100.0
2024/03,196.381350,1351.000000,0.000000,98.7,100.0
2024/04,175.440505,1353.000000,0.000000,98.2,100.0
2024/05,183.496090,1353.000000,0.000000,99.8,100.0
2024/06,191.476060,1352.000000,0.000000,99.8,100.0
2024/07,245.746237,1350.000000,0.000000,99.7,100.0
2024/08,241.998640,1353.000000,0.000000,99.2,100.0
2024/09,257.794094,1347.000000,0.000000,99.6,100.0
2024/10,232.639649,1350.000000,0.000000,99.7,100.0
2024/11,196.462894,1343.000000,0.000000,97.4,96.7
2024/12,150.278560,1352.000000,0.000000,99.6,100.0
2025/01,171.718332,1353.000000,0.000000,99.3,100.0
2025/02,139.967253,1353.000000,0.000000,99.2,100.0
2025/03,159.995553,1353.000000,0.000000,76.7,77.4
2025/04,,,,0.0,0.0
2025/05,,,,0.0,0.0
2025/06,,,,0.0,0.0
2025/07,,,,0.0,0.0
