fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2000/01,,,,,
2000/02,,,,,
2000/03,,,,,
2000/04,,,,,
2000/05,,,,,
2000/06,,,,,
2000/07,,,,,
2000/08,,,,,
2000/09,,,,,
2000/10,,,,,
2000/11,,,,,
2000/12,,,,,
2001/01,,,,,
2001/02,,,,,
2001/03,,,,,
2001/04,,,,,
2001/05,,,,,
2001/06,,,,,
2001/07,,,,,
2001/08,,,,,
2001/09,,,,,
2001/10,,,,,
2001/11,,,,,
2001/12,,,,,
2002/01,,,,,
2002/02,,,,,
2002/03,,,,,
2002/04,,,,,
2002/05,,,,,
2002/06,,,,,
2002/07,,,,,
2002/08,,,,,
2002/09,,,,,
2002/10,,,,,
2002/11,,,,,
2002/12,,,,,
2003/01,,,,,
2003/02,,,,,
2003/03,,,,,
2003/04,,,,,
2003/05,,,,,
2003/06,,,,,
2003/07,,,,,
2003/08,,,,,
2003/09,,,,,
2003/10,,,,,
2003/11,,,,,
2003/12,,,,,
2004/01,,,,,
2004/02,,,,,
2004/03,,,,,
2004/04,,,,,
2004/05,,,,,
2004/06,,,,,
2004/07,,,,,
2004/08,,,,,
2004/09,,,,,
2004/10,,,,,
2004/11,,,,,
2004/12,,,,,
2005/01,,,,,
2005/02,,,,,
2005/03,,,,,
2005/04,,,,,
2005/05,,,,,
2005/06,,,,,
2005/07,,,,,
2005/08,,,,,
2005/09,,,,,
2005/10,,,,,
2005/11,,,,,
2005/12,,,,,
2006/01,,,,,
2006/02,,,,,
2006/03,,,,,
2006/04,,,,,
2006/05,,,,,
2006/06,,,,,
2006/07,,,,,
2006/08,,,,,
2006/09,,,,,
2006/10,,,,,
2006/11,,,,,
2006/12,,,,,
2007/01,,,,,
2007/02,,,,,
2007/03,,,,,
2007/04,,,,,
2007/05,,,,,
2007/06,,,,,
2007/07,,,,,
2007/08,,,,,
2007/09,,,,,
2007/10,,,,,
2007/11,,,,,
2007/12,,,,,
2008/01,,,,,
2008/02,,,,,
2008/03,,,,,
2008/04,,,,,
2008/05,,,,,
2008/06,,,,,
2008/07,,,,,
2008/08,,,,,
2008/09,,,,,
2008/10,,,,,
2008/11,,,,,
2008/12,,,,,
2009/01,,,,,
2009/02,,,,,
2009/03,,,,,
2009/04,,,,,
2009/05,,,,,
2009/06,,,,,
2009/07,,,,,
2009/08,,,,,
2009/09,,,,,
2009/10,,,,,
2009/11,,,,,
2009/12,,,,,
2010/01,,,,,
2010/02,,,,,
2010/03,,,,,
2010/04,,,,,
2010/05,,,,,
2010/06,,,,,
2010/07,,,,,
2010/08,,,,,
2010/09,,,,,
2010/10,,,,,
2010/11,,,,,
2010/12,,,,,
2011/01,,,,,
2011/02,,,,,
2011/03,,,,,
2011/04,,,,,
2011/05,,,,,
2011/06,,,,,
2011/07,,,,,
2011/08,,,,,
2011/09,,,,28.2,26.7
2011/10,,,,37.0,35.5
2011/11,,,,25.7,23.3
2011/12,12.463,22.31,6.95,97.7,96.8
2012/01,12.022,21.54,7.85,100.0,100.0
2012/02,12.033,19.24,7.72,100.0,100.0
2012/03,13.421,23.97,7.97,100.0,100.0
2012/04,12.285,21.67,8.49,89.7,86.7
2012/05,13.415,22.69,7.72,100.0,100.0
2012/06,13.697,23.85,6.44,100.0,100.0
2012/07,14.301,24.74,6.82,100.0,100.0
2012/08,14.075,23.72,6.82,96.4,93.5
2012/09,14.301,24.49,7.72,100.0,100.0
2012/10,12.930,23.59,7.97,100.0,100.0
2012/11,12.740,22.31,7.59,99.4,100.0
2012/12,12.944,22.57,6.57,96.7,96.8
2013/01,14.016,24.23,7.08,99.9,100.0
2013/02,12.821,20.77,7.97,99.1,100.0
2013/03,13.811,22.69,8.49,99.2,100.0
2013/04,,,,18.7,16.7
2013/05,,,,,
2013/06,,,,,
2013/07,,,,,
2013/08,,,,,
2013/09,,,,,
2013/10,,,,,
2013/11,,,,,
2013/12,,,,,
2014/01,,,,,
2014/02,,,,,
2014/03,,,,,
2014/04,,,,,
2014/05,,,,,
2014/06,,,,,
2014/07,,,,,
2014/08,,,,,
2014/09,,,,62.8,60.0
2014/10,,,,,
2014/11,,,,,
2014/12,,,,,
2015/01,,,,,
2015/02,,,,53.7,50.0
2015/03,,,,7.7,6.5
2015/04,,,,,
2015/05,,,,,
2015/06,,,,,
2015/07,,,,,
2015/08,,,,,
2015/09,,,,,
2015/10,,,,,
2015/11,,,,,
2015/12,,,,33.6,32.3
2016/01,,,,42.3,38.7
2016/02,15.124,25.13,8.10,100.0,100.0
2016/03,,,,64.8,64.5
2016/04,,,,38.0,36.7
2016/05,,,,,
2016/06,,,,,
2016/07,,,,,
2016/08,,,,,
2016/09,,,,40.5,40.0
2016/10,,,,39.8,38.7
2016/11,,,,44.6,43.3
2016/12,13.275,23.08,7.21,86.9,83.9
2017/01,,,,14.5,12.9
2017/02,,,,61.2,60.7
2017/03,12.755,21.03,7.97,80.4,77.4
2017/04,,,,8.1,6.7
2017/05,,,,53.2,51.6
2017/06,,,,51.4,50.0
2017/07,,,,,
2017/08,13.479,25.51,6.44,75.7,74.2
2017/09,,,,6.9,6.7
2017/10,13.581,24.36,6.95,86.0,83.9
2017/11,12.797,23.08,7.21,99.2,100.0
2017/12,12.247,21.70,6.80,100.0,100.0
2018/01,11.660,21.00,6.60,100.0,100.0
2018/02,12.139,21.00,7.10,100.0,100.0
2018/03,12.768,21.90,7.60,100.0,100.0
2018/04,12.091,21.50,6.80,100.0,100.0
2018/05,12.032,20.00,7.70,100.0,100.0
2018/06,12.747,22.30,7.00,100.0,100.0
2018/07,12.921,21.30,6.40,88.5,87.1
2018/08,13.188,22.00,6.40,90.3,87.1
2018/09,13.117,23.80,6.00,99.4,100.0
2018/10,12.506,23.20,6.00,89.5,90.3
2018/11,12.252,20.90,7.40,94.7,100.0
2018/12,12.715,22.20,6.80,96.0,100.0
2019/01,13.027,23.40,8.00,97.0,100.0
2019/02,,,,50.6,46.4
2019/03,13.128,21.50,8.30,97.9,96.8
2019/04,12.822,21.20,7.80,100.0,100.0
2019/05,12.944,21.00,8.20,99.8,100.0
2019/06,13.636,24.30,7.60,100.0,100.0
2019/07,13.037,21.50,6.30,100.0,100.0
2019/08,13.725,22.60,7.10,100.0,100.0
2019/09,13.361,23.30,6.60,100.0,100.0
2019/10,12.253,21.90,6.80,99.3,100.0
2019/11,12.443,21.60,8.20,100.0,100.0
2019/12,12.715,22.10,7.40,100.0,100.0
2020/01,13.149,22.50,6.00,100.0,100.0
2020/02,13.259,22.50,5.90,100.0,100.0
2020/03,13.063,21.70,6.60,100.0,100.0
2020/04,12.861,21.30,6.80,100.0,100.0
2020/05,13.575,22.80,8.00,100.0,100.0
2020/06,12.831,22.00,7.30,100.0,100.0
2020/07,12.334,21.70,7.20,100.0,100.0
2020/08,12.991,24.00,6.10,100.0,100.0
2020/09,12.802,22.50,5.80,100.0,100.0
2020/10,12.857,22.30,6.30,99.9,100.0
2020/11,12.107,22.40,5.20,99.9,100.0
2020/12,11.873,20.48,7.29,99.9,100.0
2021/01,12.087,21.77,6.97,100.0,100.0
2021/02,12.486,22.20,7.40,100.0,100.0
2021/03,11.426,19.90,7.40,100.0,100.0
2021/04,12.327,21.30,7.20,100.0,100.0
2021/05,12.622,21.50,7.50,100.0,100.0
2021/06,11.941,21.00,7.00,100.0,100.0
2021/07,12.620,23.00,5.30,100.0,100.0
2021/08,,,,51.0,48.4
2021/09,12.519,22.20,5.90,99.8,100.0
2021/10,11.982,21.70,7.20,99.9,100.0
2021/11,11.656,19.70,6.80,100.0,100.0
2021/12,12.315,20.60,8.30,100.0,100.0
2022/01,12.030,21.20,5.90,100.0,100.0
2022/02,11.795,19.70,6.70,100.0,100.0
2022/03,11.643,19.00,6.20,100.0,100.0
2022/04,12.378,20.50,7.50,100.0,100.0
2022/05,12.472,21.70,6.60,100.0,100.0
2022/06,11.384,20.10,5.90,100.0,100.0
2022/07,12.291,21.20,6.10,99.9,100.0
2022/08,12.231,21.39,4.19,100.0,100.0
2022/09,12.413,22.30,5.80,100.0,100.0
2022/10,12.044,22.10,6.00,99.1,100.0
2022/11,11.974,22.10,6.60,99.9,100.0
2022/12,11.782,21.20,6.80,100.0,100.0
2023/01,11.403,21.30,6.40,99.9,100.0
2023/02,12.537,21.30,7.20,100.0,100.0
2023/03,11.484,21.80,6.70,99.9,100.0
2023/04,12.145,20.40,7.70,99.9,100.0
2023/05,13.428,22.10,7.80,100.0,100.0
2023/06,13.315,23.10,7.20,99.9,100.0
2023/07,13.549,22.20,6.40,99.9,100.0
2023/08,13.228,23.80,6.18,100.0,100.0
2023/09,13.761,24.50,6.80,100.0,100.0
2023/10,12.958,24.10,7.50,100.0,100.0
2023/11,13.243,24.10,7.60,100.0,100.0
2023/12,13.306,23.10,8.14,100.0,100.0
2024/01,13.485,24.20,7.80,99.9,100.0
2024/02,13.321,22.70,7.71,100.0,100.0
2024/03,13.861,24.20,8.70,100.0,100.0
2024/04,13.131,22.20,7.60,100.0,100.0
2024/05,13.628,23.80,8.20,100.0,100.0
2024/06,13.095,23.80,7.30,99.9,100.0
2024/07,13.608,22.70,7.30,100.0,100.0
2024/08,13.324,23.80,6.30,100.0,100.0
2024/09,13.872,24.80,6.90,100.0,100.0
2024/10,13.203,24.50,6.50,100.0,100.0
2024/11,12.278,22.60,6.10,97.9,96.7
2024/12,12.436,22.20,7.30,100.0,100.0
2025/01,12.180,20.90,6.90,100.0,100.0
2025/02,11.915,21.10,8.30,99.7,100.0
2025/03,11.836,20.37,7.30,94.9,93.5
2025/04,12.555,21.40,7.90,100.0,100.0
2025/05,12.794,21.30,7.20,100.0,100.0
2025/06,12.675,22.90,6.80,99.9,100.0
2025/07,,,,64.5,64.5
