fecha,valor,completo_mediciones,completo_umbral
2020/01,75.40,100.0,100.0
2020/02,101.30,100.0,100.0
2020/03,73.80,100.0,100.0
2020/04,105.70,100.0,100.0
2020/05,,63.1,61.3
2020/06,185.10,99.1,100.0
2020/07,237.50,99.5,100.0
2020/08,108.60,99.2,100.0
2020/09,102.70,99.8,100.0
2020/10,111.20,99.7,100.0
2020/11,135.40,99.7,100.0
2020/12,112.10,96.7,90.3
2021/01,108.10,95.2,83.9
2021/02,,67.5,67.9
2021/03,,62.2,61.3
2021/04,208.10,100.0,100.0
2021/05,167.70,99.9,100.0
2021/06,193.30,100.0,100.0
2021/07,174.00,100.0,100.0
2021/08,113.40,100.0,100.0
2021/09,137.70,99.4,100.0
2021/10,159.40,99.8,100.0
2021/11,91.90,99.9,100.0
2021/12,113.90,99.8,100.0
2022/01,63.70,99.9,100.0
2022/02,78.20,99.7,100.0
2022/03,,77.4,77.4
2022/04,,33.3,33.3
2022/05,190.90,99.9,100.0
2022/06,192.30,93.2,93.3
2022/07,124.80,99.9,100.0
2022/08,142.00,100.0,100.0
2022/09,82.70,100.0,100.0
2022/10,113.80,95.0,93.5
2022/11,141.80,100.0,100.0
2022/12,,90.0,87.1
2023/01,130.00,99.9,100.0
2023/02,111.10,100.0,100.0
2023/03,199.90,99.9,100.0
2023/04,157.70,100.0,100.0
2023/05,157.30,100.0,100.0
2023/06,151.40,100.0,100.0
2023/07,182.50,100.0,100.0
2023/08,140.00,100.0,100.0
2023/09,53.10,100.0,100.0
2023/10,64.40,100.0,100.0
2023/11,71.30,80.0,80.0
2023/12,,0.0,0.0
2024/01,104.30,99.9,100.0
2024/02,87.20,99.9,100.0
2024/03,131.80,100.0,100.0
2024/04,176.70,99.4,100.0
2024/05,189.70,99.6,100.0
2024/06,220.40,99.2,100.0
2024/07,136.40,99.6,100.0
2024/08,97.70,99.9,100.0
2024/09,88.10,100.0,100.0
2024/10,66.40,99.9,100.0
2024/11,53.40,97.4,93.3
2024/12,161.30,99.4,100.0
2025/01,151.20,99.6,100.0
2025/02,,60.5,60.7
2025/03,200.90,99.7,100.0
2025/04,166.60,99.4,100.0
2025/05,291.10,98.7,100.0
2025/06,,,
2025/07,,,
