fecha,valor,completo_mediciones,completo_umbral
2010/01,32.22,100.0,100.0
2010/02,131.22,100.0,100.0
2010/03,44.80,100.0,100.0
2010/04,262.40,100.0,100.0
2010/05,162.80,100.0,100.0
2010/06,93.60,100.0,100.0
2010/07,164.88,100.0,100.0
2010/08,41.00,100.0,100.0
2010/09,109.12,100.0,100.0
2010/10,66.82,100.0,100.0
2010/11,217.80,100.0,100.0
2010/12,207.80,100.0,100.0
2011/01,138.48,100.0,100.0
2011/02,219.12,100.0,100.0
2011/03,144.72,100.0,100.0
2011/04,302.64,100.0,100.0
2011/05,74.64,100.0,100.0
2011/06,65.76,100.0,100.0
2011/07,64.08,100.0,100.0
2011/08,142.80,100.0,100.0
2011/09,76.08,100.0,100.0
2011/10,198.24,100.0,100.0
2011/11,33.84,100.0,100.0
2011/12,170.40,100.0,100.0
2012/01,287.76,100.0,100.0
2012/02,166.80,100.0,100.0
2012/03,177.36,100.0,100.0
2012/04,248.64,100.0,100.0
2012/05,78.96,100.0,100.0
2012/06,19.68,100.0,100.0
2012/07,12.00,100.0,100.0
2012/08,44.88,100.0,100.0
2012/09,66.00,100.0,100.0
2012/10,208.32,100.0,100.0
2012/11,221.76,100.0,100.0
2012/12,47.52,100.0,100.0
2013/01,77.28,100.0,100.0
2013/02,178.56,100.0,100.0
2013/03,114.96,100.0,100.0
2013/04,184.08,100.0,100.0
2013/05,281.28,100.0,100.0
2013/06,12.24,100.0,100.0
2013/07,9.12,100.0,100.0
2013/08,73.44,100.0,100.0
2013/09,69.84,100.0,100.0
2013/10,169.20,100.0,100.0
2013/11,39.60,100.0,100.0
2013/12,83.04,99.8,100.0
2014/01,224.40,100.0,100.0
2014/02,154.80,100.0,100.0
2014/03,342.44,100.0,100.0
2014/04,280.50,100.0,100.0
2014/05,237.60,100.0,100.0
2014/06,47.60,100.0,100.0
2014/07,18.00,100.0,100.0
2014/08,26.70,100.0,100.0
2014/09,,66.7,66.7
2014/10,109.00,100.0,100.0
2014/11,71.10,100.0,100.0
2014/12,97.90,100.0,100.0
2015/01,71.60,100.0,100.0
2015/02,59.70,96.4,96.4
2015/03,326.50,100.0,100.0
2015/04,171.60,100.0,100.0
2015/05,94.90,100.0,100.0
2015/06,9.00,100.0,100.0
2015/07,55.20,100.0,100.0
2015/08,2.10,100.0,100.0
2015/09,11.50,100.0,100.0
2015/10,130.00,100.0,100.0
2015/11,178.60,100.0,100.0
2015/12,94.10,100.0,100.0
2016/01,191.10,100.0,100.0
2016/02,56.90,100.0,100.0
2016/03,250.80,100.0,100.0
2016/04,353.90,100.0,100.0
2016/05,123.20,100.0,100.0
2016/06,36.70,100.0,100.0
2016/07,15.20,100.0,100.0
2016/08,5.60,100.0,100.0
2016/09,122.20,100.0,100.0
2016/10,168.30,100.0,100.0
2016/11,55.10,100.0,100.0
2016/12,112.50,100.0,100.0
2017/01,181.50,100.0,100.0
2017/02,214.00,100.0,100.0
2017/03,319.10,100.0,100.0
2017/04,222.40,100.0,100.0
2017/05,244.30,100.0,100.0
2017/06,46.10,100.0,100.0
2017/07,17.40,100.0,100.0
2017/08,32.10,99.8,100.0
2017/09,19.50,100.0,100.0
2017/10,161.30,100.0,100.0
2017/11,102.10,100.0,100.0
2017/12,153.30,100.0,100.0
2018/01,136.80,100.0,100.0
2018/02,149.30,99.9,100.0
2018/03,163.90,99.9,100.0
2018/04,132.20,99.9,100.0
2018/05,158.50,100.0,100.0
2018/06,38.80,99.9,100.0
2018/07,29.80,100.0,100.0
2018/08,24.90,99.9,100.0
2018/09,36.00,100.0,100.0
2018/10,27.30,99.7,100.0
2018/11,187.50,100.0,100.0
2018/12,,18.2,16.1
2019/01,,29.0,29.0
2019/02,151.50,99.8,100.0
2019/03,228.30,99.9,100.0
2019/04,230.60,99.9,100.0
2019/05,79.50,99.9,100.0
