fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2010/01,,,,,
2010/02,,,,,
2010/03,,,,,
2010/04,,,,,
2010/05,,,,,
2010/06,,,,,
2010/07,,,,,
2010/08,,,,,
2010/09,,,,,
2010/10,,,,,
2010/11,,,,,
2010/12,,,,,
2011/01,,,,,
2011/02,,,,,
2011/03,,,,,
2011/04,,,,,
2011/05,,,,,
2011/06,,,,,
2011/07,,,,,
2011/08,,,,,
2011/09,,,,,
2011/10,,,,,
2011/11,,,,,
2011/12,,,,,
2012/01,,,,,
2012/02,,,,,
2012/03,,,,,
2012/04,,,,,
2012/05,,,,,
2012/06,,,,,
2012/07,,,,,
2012/08,,,,,
2012/09,,,,,
2012/10,,,,,
2012/11,,,,,
2012/12,,,,,
2013/01,,,,,
2013/02,,,,,
2013/03,,,,,
2013/04,,,,,
2013/05,,,,,
2013/06,,,,,
2013/07,,,,,
2013/08,,,,,
2013/09,,,,,
2013/10,,,,,
2013/11,,,,,
2013/12,,,,,
2014/01,,,,,
2014/02,,,,,
2014/03,,,,,
2014/04,,,,,
2014/05,,,,,
2014/06,,,,,
2014/07,,,,,
2014/08,,,,,
2014/09,,,,,
2014/10,,,,,
2014/11,,,,,
2014/12,,,,,
2015/01,,,,,
2015/02,,,,,
2015/03,,,,,
2015/04,,,,,
2015/05,,,,,
2015/06,,,,,
2015/07,,,,,
2015/08,,,,,
2015/09,,,,,
2015/10,,,,,
2015/11,,,,,
2015/12,,,,,
2016/01,,,,,
2016/02,,,,,
2016/03,,,,,
2016/04,,,,,
2016/05,,,,,
2016/06,,,,,
2016/07,,,,,
2016/08,,,,,
2016/09,,,,,
2016/10,,,,,
2016/11,,,,,
2016/12,,,,,
2017/01,,,,,
2017/02,,,,,
2017/03,,,,,
2017/04,,,,,
2017/05,,,,,
2017/06,,,,,
2017/07,,,,,
2017/08,,,,,
2017/09,,,,,
2017/10,,,,,
2017/11,,,,,
2017/12,,,,,
2018/01,,,,,
2018/02,,,,,
2018/03,,,,,
2018/04,,,,,
2018/05,,,,,
2018/06,,,,,
2018/07,,,,,
2018/08,,,,,
2018/09,,,,,
2018/10,,,,,
2018/11,,,,,
2018/12,,,,,
2019/01,,,,,
2019/02,,,,,
2019/03,,,,,
2019/04,,,,,
2019/05,,,,,
2019/06,,,,,
2019/07,,,,,
2019/08,,,,33.8,32.3
2019/09,229.933954,1372.000000,2.000000,99.9,100.0
2019/10,188.012276,1439.000000,2.000000,99.6,100.0
2019/11,189.472959,1356.000000,2.000000,99.9,100.0
2019/12,194.923177,1317.000000,2.000000,99.8,100.0
2020/01,215.774569,1326.000000,1.650000,99.7,100.0
2020/02,213.421839,1352.000000,2.000000,99.6,100.0
2020/03,200.437559,1339.000000,1.653000,99.9,100.0
2020/04,181.635676,1339.340000,1.655000,99.9,100.0
2020/05,195.459136,1446.000000,2.000000,99.5,100.0
2020/06,192.799910,1293.000000,1.579000,99.4,100.0
2020/07,181.164264,1258.000000,2.000000,99.4,100.0
2020/08,246.195697,1455.000000,2.000000,99.4,100.0
2020/09,209.733575,1429.000000,2.000000,99.5,100.0
2020/10,219.205772,1502.000000,2.000000,99.2,100.0
2020/11,206.423865,1284.000000,1.000000,99.3,100.0
2020/12,168.208413,1362.000000,1.566000,99.4,100.0
2021/01,178.399310,1506.000000,1.547000,99.6,100.0
2021/02,178.080729,1367.000000,2.000000,98.9,100.0
2021/03,150.276068,1453.000000,1.557000,96.4,100.0
2021/04,180.987963,1422.000000,2.000000,99.3,100.0
2021/05,184.230541,1401.000000,2.000000,99.9,100.0
2021/06,190.312984,1343.000000,2.000000,88.8,90.0
2021/07,210.985525,1224.000000,2.000000,98.8,100.0
2021/08,197.542453,1384.000000,2.000000,97.3,100.0
2021/09,207.265754,1387.000000,2.000000,96.2,100.0
2021/10,195.313333,1347.000000,2.000000,97.3,100.0
2021/11,167.293211,1437.000000,2.000000,98.7,100.0
2021/12,175.151848,1352.000000,2.000000,97.2,100.0
2022/01,200.298468,1353.000000,1.000000,99.2,100.0
2022/02,169.887149,1353.000000,1.000000,97.3,100.0
2022/03,148.276302,1353.000000,1.000000,99.6,100.0
2022/04,178.861571,1353.000000,1.000000,99.2,100.0
2022/05,178.891824,1353.000000,1.000000,98.1,100.0
2022/06,170.944665,1353.000000,1.000000,97.5,100.0
2022/07,190.101221,1353.000000,1.000000,98.1,100.0
2022/08,221.114003,1353.000000,1.000000,97.4,100.0
2022/09,218.611306,1353.000000,1.000000,97.8,100.0
2022/10,179.107420,1353.000000,1.000000,98.1,100.0
2022/11,203.276860,1353.000000,1.000000,97.8,100.0
2022/12,195.586683,1353.000000,1.000000,100.0,100.0
2023/01,177.084402,1349.000000,1.000000,99.9,100.0
2023/02,192.753380,1353.000000,1.000000,99.9,100.0
2023/03,127.867149,1351.000000,0.000000,99.8,100.0
2023/04,,,,6.7,6.7
2023/05,190.316624,1353.000000,1.000000,99.9,100.0
2023/06,200.116627,1351.000000,1.000000,99.3,100.0
2023/07,223.656835,1353.000000,1.000000,99.0,100.0
2023/08,227.667827,1351.000000,1.000000,99.1,100.0
2023/09,234.631484,1353.000000,1.000000,99.2,100.0
2023/10,194.905332,1353.000000,1.000000,98.7,100.0
2023/11,210.195234,1352.000000,1.000000,99.2,100.0
2023/12,171.584610,1353.000000,1.000000,99.4,100.0
2024/01,191.299921,1353.000000,1.000000,99.1,100.0
2024/02,180.357074,1353.000000,1.000000,98.7,100.0
2024/03,185.397887,1353.000000,1.000000,98.6,100.0
2024/04,184.330358,1353.000000,1.000000,97.6,100.0
2024/05,183.469924,1353.000000,1.000000,99.6,100.0
2024/06,183.457275,1352.000000,1.000000,99.9,100.0
2024/07,244.430930,1353.000000,1.000000,99.3,100.0
2024/08,235.144688,1353.000000,1.000000,99.2,100.0
2024/09,238.002031,1353.000000,1.000000,98.4,100.0
2024/10,235.691549,1353.000000,1.000000,99.4,100.0
2024/11,220.331808,1352.000000,1.000000,99.8,100.0
2024/12,161.034775,1350.000000,1.000000,99.6,100.0
2025/01,182.108722,1353.000000,1.000000,99.5,100.0
2025/02,155.039885,1349.000000,0.000000,99.6,100.0
2025/03,143.367271,1351.000000,1.000000,99.7,100.0
2025/04,174.425335,1351.000000,1.000000,98.8,100.0
2025/05,169.512152,1353.000000,1.000000,99.0,100.0
