fecha,valor,completo_mediciones,completo_umbral
2020/01,43.70,100.0,100.0
2020/02,56.50,99.3,96.6
2020/03,59.60,99.5,100.0
2020/04,74.10,99.7,100.0
2020/05,23.80,99.7,100.0
2020/06,29.20,99.0,100.0
2020/07,13.50,98.4,100.0
2020/08,32.30,99.1,100.0
2020/09,24.60,97.0,100.0
2020/10,30.60,88.0,87.1
2020/11,43.90,80.3,83.3
2020/12,46.60,85.8,90.3
2021/01,10.60,83.0,83.9
2021/02,72.30,99.9,100.0
2021/03,128.60,99.8,100.0
2021/04,100.50,99.9,100.0
2021/05,42.30,99.9,100.0
2021/06,43.70,99.8,100.0
2021/07,2.00,99.8,100.0
2021/08,6.80,99.9,100.0
2021/09,53.40,99.8,100.0
2021/10,139.00,99.9,100.0
2021/11,89.50,99.8,100.0
2021/12,88.40,99.8,100.0
2022/01,79.60,99.8,100.0
2022/02,100.60,99.9,100.0
2022/03,63.90,98.9,100.0
2022/04,86.40,99.4,100.0
2022/05,60.90,99.8,100.0
2022/06,87.20,99.8,100.0
2022/07,65.00,99.8,100.0
2022/08,6.70,99.8,100.0
2022/09,7.50,99.8,100.0
2022/10,,74.3,58.1
2022/11,,47.3,40.0
2022/12,,53.4,48.4
2023/01,108.10,100.0,100.0
2023/02,44.80,100.0,100.0
2023/03,123.20,100.0,100.0
2023/04,166.50,100.0,100.0
2023/05,55.70,100.0,100.0
2023/06,4.60,100.0,100.0
2023/07,46.40,100.0,100.0
2023/08,9.30,100.0,100.0
2023/09,18.90,100.0,100.0
2023/10,59.30,100.0,100.0
2023/11,99.80,100.0,100.0
2023/12,88.40,100.0,100.0
2024/01,10.90,99.9,100.0
2024/02,100.40,99.9,100.0
2024/03,49.90,100.0,100.0
2024/04,116.60,100.0,100.0
2024/05,62.00,87.1,83.9
2024/06,25.40,99.7,100.0
2024/07,6.70,99.8,100.0
2024/08,1.60,99.0,100.0
2024/09,20.90,99.7,100.0
2024/10,120.50,99.7,100.0
2024/11,12.90,99.8,100.0
2024/12,113.40,99.8,100.0
2025/01,,,
2025/02,,,
2025/03,,,
2025/04,,,
2025/05,,,
2025/06,,,
2025/07,,,
