fecha,valor,completo_mediciones,completo_umbral
2020/01,78.60,100.0,100.0
2020/02,77.50,100.0,100.0
2020/03,65.70,100.0,100.0
2020/04,81.10,100.0,100.0
2020/05,132.40,100.0,100.0
2020/06,168.70,100.0,100.0
2020/07,71.80,100.0,100.0
2020/08,127.60,100.0,100.0
2020/09,84.50,100.0,100.0
2020/10,57.20,100.0,100.0
2020/11,108.00,100.0,100.0
2020/12,73.00,100.0,100.0
2021/01,78.20,100.0,100.0
2021/02,77.90,100.0,100.0
2021/03,100.20,100.0,100.0
2021/04,140.10,100.0,100.0
2021/05,167.90,100.0,100.0
2021/06,155.20,100.0,100.0
2021/07,66.30,100.0,100.0
2021/08,86.20,100.0,100.0
2021/09,115.90,100.0,100.0
2021/10,103.90,100.0,100.0
2021/11,53.10,100.0,100.0
2021/12,59.80,100.0,100.0
2022/01,33.50,100.0,100.0
2022/02,47.80,100.0,100.0
2022/03,80.40,100.0,100.0
2022/04,77.70,100.0,100.0
2022/05,108.50,100.0,100.0
2022/06,154.60,100.0,100.0
2022/07,226.50,100.0,100.0
2022/08,151.70,100.0,100.0
2022/09,84.10,100.0,100.0
2022/10,83.80,100.0,100.0
2022/11,53.60,100.0,100.0
2022/12,70.10,100.0,100.0
2023/01,63.60,100.0,100.0
2023/02,63.00,100.0,100.0
2023/03,124.50,99.9,100.0
2023/04,116.90,100.0,100.0
2023/05,98.20,100.0,100.0
2023/06,106.80,100.0,100.0
2023/07,180.10,100.0,100.0
2023/08,128.30,100.0,100.0
2023/09,66.00,100.0,100.0
2023/10,38.10,100.0,100.0
2023/11,103.10,100.0,100.0
2023/12,63.80,100.0,100.0
2024/01,70.80,100.0,100.0
2024/02,76.70,100.0,100.0
2024/03,68.10,100.0,100.0
2024/04,112.70,100.0,100.0
2024/05,144.40,100.0,100.0
2024/06,173.00,100.0,100.0
2024/07,128.80,100.0,100.0
2024/08,105.00,83.9,83.9
2024/09,,,
2024/10,,,
2024/11,,,
2024/12,,,
2025/01,,,
2025/02,86.30,92.7,92.9
2025/03,91.00,100.0,100.0
2025/04,120.60,100.0,100.0
2025/05,,45.2,45.2
2025/06,,,
2025/07,,,
