fecha,valor,completo_mediciones,completo_umbral
2017/09/13,,57.6,58.3
2017/09/14,0.40,100.0,100.0
2017/09/15,0.00,100.0,100.0
2017/09/16,2.10,100.0,100.0
2017/09/17,2.90,100.0,100.0
2017/09/18,0.00,100.0,100.0
2017/09/19,0.00,100.0,100.0
2017/09/20,0.00,100.0,100.0
2017/09/21,0.00,100.0,100.0
2017/09/22,0.00,99.7,100.0
2017/09/23,0.10,99.7,100.0
2017/09/24,0.00,100.0,100.0
2017/09/25,0.70,100.0,100.0
2017/09/26,0.00,100.0,100.0
2017/09/27,0.00,100.0,100.0
2017/09/28,0.00,100.0,100.0
2017/09/29,0.50,100.0,100.0
2017/09/30,3.10,100.0,100.0
2017/10/01,0.00,100.0,100.0
2017/10/02,0.10,100.0,100.0
2017/10/03,0.00,100.0,100.0
2017/10/04,0.90,100.0,100.0
2017/10/05,0.40,100.0,100.0
2017/10/06,0.30,100.0,100.0
2017/10/07,0.40,100.0,100.0
2017/10/08,0.00,100.0,100.0
2017/10/09,9.30,100.0,100.0
2017/10/10,4.20,100.0,100.0
2017/10/11,0.00,100.0,100.0
2017/10/12,0.00,100.0,100.0
2017/10/13,2.20,100.0,100.0
2017/10/14,0.30,100.0,100.0
2017/10/15,2.90,100.0,100.0
2017/10/16,1.10,100.0,100.0
2017/10/17,2.10,100.0,100.0
2017/10/18,0.30,100.0,100.0
2017/10/19,0.00,100.0,100.0
2017/10/20,0.00,100.0,100.0
2017/10/21,1.70,100.0,100.0
2017/10/22,2.20,100.0,100.0
2017/10/23,0.70,100.0,100.0
2017/10/24,0.70,100.0,100.0
2017/10/25,13.20,100.0,100.0
2017/10/26,0.00,100.0,100.0
2017/10/27,18.80,100.0,100.0
2017/10/28,4.60,100.0,100.0
2017/10/29,0.80,100.0,100.0
2017/10/30,2.50,100.0,100.0
2017/10/31,4.90,100.0,100.0
2017/11/01,10.90,100.0,100.0
2017/11/02,0.40,100.0,100.0
2017/11/03,0.50,100.0,100.0
2017/11/04,0.00,100.0,100.0
2017/11/05,0.00,100.0,100.0
2017/11/06,0.00,100.0,100.0
2017/11/07,0.00,100.0,100.0
2017/11/08,3.80,100.0,100.0
2017/11/09,2.10,100.0,100.0
2017/11/10,3.40,100.0,100.0
2017/11/11,0.00,100.0,100.0
2017/11/12,0.00,100.0,100.0
2017/11/13,0.00,100.0,100.0
2017/11/14,13.60,100.0,100.0
2017/11/15,21.20,100.0,100.0
2017/11/16,7.30,100.0,100.0
2017/11/17,0.80,100.0,100.0
2017/11/18,0.10,100.0,100.0
2017/11/19,0.60,100.0,100.0
2017/11/20,31.80,100.0,100.0
2017/11/21,0.70,100.0,100.0
2017/11/22,0.00,100.0,100.0
2017/11/23,0.00,99.7,100.0
2017/11/24,0.00,100.0,100.0
2017/11/25,0.00,100.0,100.0
2017/11/26,1.10,100.0,100.0
2017/11/27,0.30,100.0,100.0
2017/11/28,1.50,100.0,100.0
2017/11/29,0.10,100.0,100.0
2017/11/30,0.10,100.0,100.0
2017/12/01,5.50,100.0,100.0
2017/12/02,28.90,100.0,100.0
2017/12/03,1.50,100.0,100.0
2017/12/04,4.40,99.7,100.0
2017/12/05,0.30,100.0,100.0
