fecha,valor,completo_mediciones,completo_umbral
2020/01,110.20,100.0,100.0
2020/02,69.80,100.0,100.0
2020/03,87.40,100.0,100.0
2020/04,96.70,100.0,100.0
2020/05,96.00,100.0,100.0
2020/06,141.10,100.0,100.0
2020/07,206.30,100.0,100.0
2020/08,96.10,100.0,100.0
2020/09,102.70,100.0,100.0
2020/10,43.00,100.0,100.0
2020/11,183.20,100.0,100.0
2020/12,106.90,100.0,100.0
2021/01,128.60,100.0,100.0
2021/02,142.40,100.0,100.0
2021/03,257.10,100.0,100.0
2021/04,,23.8,20.0
2021/05,152.90,100.0,100.0
2021/06,150.50,100.0,100.0
2021/07,193.90,100.0,100.0
2021/08,76.10,100.0,100.0
2021/09,106.30,100.0,100.0
2021/10,181.80,100.0,100.0
2021/11,142.60,100.0,100.0
2021/12,106.40,100.0,100.0
2022/01,53.00,100.0,100.0
2022/02,,77.0,75.0
2022/03,,0.0,0.0
2022/04,,35.4,33.3
2022/05,59.90,100.0,100.0
2022/06,117.30,100.0,100.0
2022/07,138.10,100.0,100.0
2022/08,109.00,100.0,100.0
2022/09,40.50,100.0,100.0
2022/10,121.50,100.0,100.0
2022/11,97.70,100.0,100.0
2022/12,60.00,100.0,100.0
2023/01,119.20,100.0,100.0
2023/02,45.20,100.0,100.0
2023/03,182.50,100.0,100.0
2023/04,118.90,100.0,100.0
2023/05,58.10,100.0,100.0
2023/06,50.60,100.0,100.0
2023/07,103.20,100.0,100.0
2023/08,68.90,100.0,100.0
2023/09,34.50,100.0,100.0
2023/10,60.20,100.0,100.0
2023/11,89.80,100.0,100.0
2023/12,48.30,80.6,80.6
2024/01,61.00,100.0,100.0
2024/02,102.60,100.0,100.0
2024/03,58.30,100.0,100.0
2024/04,126.50,100.0,100.0
2024/05,69.60,100.0,100.0
2024/06,141.00,100.0,100.0
2024/07,76.00,96.8,96.8
2024/08,66.50,83.9,83.9
2024/09,,,
2024/10,,,
2024/11,,,
2024/12,,,
2025/01,,,
2025/02,110.40,92.9,92.9
2025/03,177.90,100.0,100.0
2025/04,98.40,100.0,100.0
2025/05,,45.2,45.2
2025/06,,,
2025/07,,,
