fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2010/01,,,,,
2010/02,,,,,
2010/03,,,,,
2010/04,,,,,
2010/05,,,,,
2010/06,,,,,
2010/07,,,,,
2010/08,,,,,
2010/09,,,,,
2010/10,,,,,
2010/11,,,,,
2010/12,,,,,
2011/01,,,,,
2011/02,,,,,
2011/03,,,,,
2011/04,,,,,
2011/05,,,,,
2011/06,,,,,
2011/07,,,,,
2011/08,,,,,
2011/09,,,,,
2011/10,,,,,
2011/11,,,,,
2011/12,,,,,
2012/01,,,,,
2012/02,,,,,
2012/03,,,,,
2012/04,,,,,
2012/05,,,,,
2012/06,,,,,
2012/07,,,,,
2012/08,,,,,
2012/09,,,,,
2012/10,,,,,
2012/11,,,,,
2012/12,,,,,
2013/01,,,,,
2013/02,,,,,
2013/03,,,,,
2013/04,,,,,
2013/05,,,,,
2013/06,,,,,
2013/07,,,,,
2013/08,,,,,
2013/09,,,,,
2013/10,,,,,
2013/11,,,,,
2013/12,,,,,
2014/01,,,,,
2014/02,,,,,
2014/03,,,,,
2014/04,,,,,
2014/05,,,,,
2014/06,,,,,
2014/07,,,,,
2014/08,,,,,
2014/09,,,,,
2014/10,,,,,
2014/11,,,,,
2014/12,,,,,
2015/01,,,,,
2015/02,,,,,
2015/03,,,,,
2015/04,,,,,
2015/05,,,,,
2015/06,,,,,
2015/07,,,,,
2015/08,,,,,
2015/09,,,,,
2015/10,,,,,
2015/11,,,,,
2015/12,,,,,
2016/01,,,,,
2016/02,,,,,
2016/03,,,,,
2016/04,,,,,
2016/05,,,,,
2016/06,,,,,
2016/07,,,,,
2016/08,,,,,
2016/09,,,,,
2016/10,,,,,
2016/11,,,,,
2016/12,,,,,
2017/01,,,,,
2017/02,,,,,
2017/03,,,,,
2017/04,,,,,
2017/05,,,,,
2017/06,,,,,
2017/07,,,,,
2017/08,,,,,
2017/09,,,,58.6,56.7
2017/10,7.698,19.61,0.46,100.0,100.0
2017/11,7.585,18.72,-2.21,100.0,100.0
2017/12,7.586,19.66,-3.04,99.9,100.0
2018/01,6.900,18.20,-2.19,99.7,100.0
2018/02,7.787,19.88,-1.76,100.0,100.0
2018/03,7.789,18.62,-0.79,100.0,100.0
2018/04,7.547,18.42,-1.72,100.0,100.0
2018/05,7.763,17.47,0.45,100.0,100.0
2018/06,7.193,17.55,2.34,99.7,100.0
2018/07,6.906,15.05,-0.60,100.0,100.0
2018/08,6.726,15.78,0.37,99.1,100.0
2018/09,7.352,19.97,-2.30,100.0,100.0
2018/10,7.934,20.76,-4.80,100.0,100.0
2018/11,8.025,19.66,0.33,100.0,100.0
2018/12,7.573,16.63,0.28,100.0,100.0
2019/01,8.013,19.50,0.37,99.9,100.0
2019/02,8.811,19.37,0.68,100.0,100.0
2019/03,8.789,20.03,1.99,100.0,100.0
2019/04,8.334,19.42,0.39,100.0,100.0
2019/05,7.919,18.41,1.67,100.0,100.0
2019/06,7.569,18.15,1.53,99.9,100.0
2019/07,6.882,18.78,1.97,99.9,100.0
2019/08,6.399,16.25,0.70,99.8,100.0
2019/09,7.522,19.35,0.04,100.0,100.0
2019/10,7.382,18.54,0.37,100.0,100.0
2019/11,7.958,19.26,-0.16,100.0,100.0
2019/12,8.096,19.65,0.30,100.0,100.0
2020/01,8.028,18.59,-1.63,100.0,100.0
2020/02,8.520,19.65,0.63,100.0,100.0
2020/03,8.699,20.80,-2.49,100.0,100.0
2020/04,8.562,18.86,-0.11,100.0,100.0
2020/05,8.430,18.34,0.00,100.0,100.0
2020/06,7.521,18.71,-1.00,100.0,100.0
2020/07,6.677,16.60,0.10,100.0,100.0
2020/08,7.501,18.84,-1.23,100.0,100.0
2020/09,6.959,19.22,-0.90,100.0,100.0
2020/10,7.416,20.46,-0.71,100.0,100.0
2020/11,7.448,21.20,-4.43,100.0,100.0
2020/12,7.391,18.22,-0.05,100.0,100.0
2021/01,7.387,17.83,-0.39,99.9,100.0
2021/02,8.088,19.39,0.00,100.0,100.0
2021/03,7.005,16.71,0.00,100.0,100.0
2021/04,,,,11.9,10.0
2021/05,,,,34.4,32.3
2021/06,7.340,18.99,-0.37,100.0,100.0
2021/07,7.043,16.57,2.09,100.0,100.0
2021/08,6.820,18.57,-1.12,100.0,100.0
2021/09,6.975,18.51,-0.73,100.0,100.0
2021/10,7.862,20.85,0.52,100.0,100.0
2021/11,7.599,20.19,-1.34,100.0,100.0
2021/12,8.572,21.17,-0.10,100.0,100.0
2022/01,7.726,20.14,-2.71,100.0,100.0
2022/02,7.950,18.83,0.75,77.0,75.0
2022/03,,,,0.0,0.0
2022/04,,,,35.4,33.3
2022/05,8.069,18.40,1.22,100.0,100.0
2022/06,6.808,16.68,-0.92,100.0,100.0
2022/07,7.031,18.04,1.04,100.0,100.0
2022/08,6.719,18.75,-0.35,100.0,100.0
2022/09,7.125,19.85,-0.78,100.0,100.0
2022/10,7.443,19.53,-1.96,100.0,100.0
2022/11,7.558,20.83,-0.60,100.0,100.0
2022/12,7.384,19.12,-1.72,100.0,100.0
2023/01,7.012,19.10,-1.07,100.0,100.0
2023/02,8.261,20.17,0.88,100.0,100.0
2023/03,7.372,17.25,0.12,100.0,100.0
2023/04,8.038,19.39,1.79,100.0,100.0
2023/05,8.842,19.50,2.46,100.0,100.0
2023/06,7.932,16.13,2.86,100.0,100.0
2023/07,7.637,18.72,1.01,100.0,100.0
2023/08,7.614,19.41,-0.65,100.0,100.0
2023/09,7.833,19.25,1.09,100.0,100.0
2023/10,8.696,20.45,-0.08,100.0,100.0
2023/11,8.733,19.99,-1.09,100.0,100.0
2023/12,9.033,19.81,1.04,80.6,80.6
2024/01,8.692,22.18,0.19,100.0,100.0
2024/02,8.944,19.97,1.42,100.0,100.0
2024/03,8.772,19.65,1.20,100.0,100.0
2024/04,8.672,19.99,2.40,100.0,100.0
2024/05,9.192,20.45,0.78,100.0,100.0
2024/06,8.192,18.91,0.24,100.0,100.0
2024/07,7.578,16.92,3.29,96.8,96.8
2024/08,7.065,17.16,1.38,83.9,83.9
2024/09,,,,,
2024/10,,,,,
2024/11,,,,,
2024/12,,,,,
2025/01,,,,,
2025/02,7.898,18.77,1.27,92.9,92.9
2025/03,7.670,18.87,1.07,100.0,100.0
2025/04,8.082,18.79,0.23,100.0,100.0
2025/05,,,,45.2,45.2
