fecha,valor,completo_mediciones,completo_umbral
2020/01,53.80,86.1,83.9
2020/02,70.70,88.6,86.2
2020/03,65.60,100.0,100.0
2020/04,81.30,100.0,100.0
2020/05,124.30,97.5,96.8
2020/06,193.40,95.9,93.3
2020/07,194.60,98.8,96.8
2020/08,123.50,94.6,93.5
2020/09,114.10,99.9,100.0
2020/10,61.20,100.0,100.0
2020/11,116.50,99.9,100.0
2020/12,71.80,99.9,100.0
2021/01,98.10,97.8,93.5
2021/02,80.30,99.5,100.0
2021/03,100.60,99.9,100.0
2021/04,167.70,100.0,100.0
2021/05,176.60,99.9,100.0
2021/06,186.10,99.9,100.0
2021/07,197.00,99.0,96.8
2021/08,92.80,99.9,100.0
2021/09,117.20,99.4,100.0
2021/10,95.90,99.9,100.0
2021/11,51.70,99.7,100.0
2021/12,63.00,100.0,100.0
2022/01,33.50,100.0,100.0
2022/02,49.90,99.9,100.0
2022/03,82.80,99.9,100.0
2022/04,,79.1,76.7
2022/05,,28.9,25.8
2022/06,164.90,96.2,93.3
2022/07,240.20,100.0,100.0
2022/08,163.10,99.9,100.0
2022/09,86.00,100.0,100.0
2022/10,83.30,100.0,100.0
2022/11,57.50,100.0,100.0
2022/12,75.00,100.0,100.0
2023/01,67.50,99.7,100.0
2023/02,66.60,100.0,100.0
2023/03,124.50,99.9,100.0
2023/04,111.50,100.0,100.0
2023/05,96.90,100.0,100.0
2023/06,122.90,100.0,100.0
2023/07,186.10,99.8,100.0
2023/08,132.90,99.9,100.0
2023/09,70.90,100.0,100.0
2023/10,36.30,100.0,100.0
2023/11,103.80,100.0,100.0
2023/12,64.10,99.6,100.0
2024/01,69.70,100.0,100.0
2024/02,80.80,100.0,100.0
2024/03,70.40,100.0,100.0
2024/04,115.60,100.0,100.0
2024/05,150.70,99.9,100.0
2024/06,183.30,99.9,100.0
2024/07,138.60,100.0,100.0
2024/08,111.70,100.0,100.0
2024/09,73.70,99.9,100.0
2024/10,49.50,99.9,100.0
2024/11,20.60,99.9,100.0
2024/12,88.90,99.9,100.0
2025/01,93.60,100.0,100.0
2025/02,86.40,100.0,100.0
2025/03,,,
2025/04,,,
2025/05,,,
2025/06,,,
2025/07,,,
