fecha,valor,completo_mediciones,completo_umbral
2020/01,80.20,100.0,100.0
2020/02,61.20,100.0,100.0
2020/03,45.30,100.0,100.0
2020/04,126.60,100.0,100.0
2020/05,47.10,100.0,100.0
2020/06,20.10,100.0,100.0
2020/07,33.80,100.0,100.0
2020/08,43.20,99.9,100.0
2020/09,65.70,100.0,100.0
2020/10,31.40,100.0,100.0
2020/11,84.60,100.0,100.0
2020/12,123.50,100.0,100.0
2021/01,94.90,100.0,100.0
2021/02,127.00,100.0,100.0
2021/03,221.20,99.9,100.0
2021/04,81.50,100.0,100.0
2021/05,78.20,100.0,100.0
2021/06,30.90,100.0,100.0
2021/07,17.80,100.0,100.0
2021/08,1.50,100.0,100.0
2021/09,37.10,100.0,100.0
2021/10,197.90,100.0,100.0
2021/11,129.20,100.0,100.0
2021/12,80.30,100.0,100.0
2022/01,70.40,100.0,100.0
2022/02,93.10,100.0,100.0
2022/03,102.30,100.0,100.0
2022/04,66.00,100.0,100.0
2022/05,22.50,100.0,100.0
2022/06,76.00,100.0,100.0
2022/07,43.90,100.0,100.0
2022/08,11.50,100.0,100.0
2022/09,11.10,100.0,100.0
2022/10,158.80,100.0,100.0
2022/11,87.40,100.0,100.0
2022/12,53.10,100.0,100.0
2023/01,134.80,100.0,100.0
2023/02,,82.7,78.6
2023/03,163.00,100.0,100.0
2023/04,135.10,100.0,100.0
2023/05,79.90,100.0,100.0
2023/06,3.00,100.0,100.0
2023/07,23.10,100.0,100.0
2023/08,10.30,100.0,100.0
2023/09,12.30,100.0,100.0
2023/10,82.20,100.0,100.0
2023/11,116.00,100.0,100.0
2023/12,124.70,100.0,100.0
2024/01,34.90,100.0,100.0
2024/02,99.90,100.0,100.0
2024/03,106.70,100.0,100.0
2024/04,126.70,100.0,100.0
2024/05,42.90,100.0,100.0
2024/06,51.40,100.0,100.0
2024/07,11.20,100.0,100.0
2024/08,9.80,88.9,87.1
2024/09,84.30,100.0,100.0
2024/10,97.90,100.0,100.0
2024/11,81.70,100.0,100.0
2024/12,149.20,100.0,100.0
2025/01,,48.4,48.4
2025/02,,,
2025/03,,,
2025/04,,,
2025/05,,,
2025/06,,,
2025/07,,,
