fecha,valor,completo_mediciones,completo_umbral
2020/01,62.80,100.0,100.0
2020/02,82.90,100.0,100.0
2020/03,55.30,100.0,100.0
2020/04,85.20,100.0,100.0
2020/05,119.10,100.0,100.0
2020/06,143.50,100.0,100.0
2020/07,165.00,100.0,100.0
2020/08,69.60,100.0,100.0
2020/09,77.30,100.0,100.0
2020/10,68.20,100.0,100.0
2020/11,133.50,100.0,100.0
2020/12,81.30,96.5,90.3
2021/01,79.60,94.1,83.9
2021/02,127.00,100.0,100.0
2021/03,132.00,100.0,100.0
2021/04,149.30,100.0,100.0
2021/05,129.00,100.0,100.0
2021/06,139.90,100.0,100.0
2021/07,124.20,100.0,100.0
2021/08,75.30,100.0,100.0
2021/09,92.40,99.4,100.0
2021/10,123.50,100.0,100.0
2021/11,53.50,100.0,100.0
2021/12,82.50,100.0,100.0
2022/01,49.80,100.0,100.0
2022/02,53.80,100.0,100.0
2022/03,114.00,100.0,100.0
2022/04,118.10,99.9,100.0
2022/05,119.90,100.0,100.0
2022/06,153.90,100.0,100.0
2022/07,150.20,100.0,100.0
2022/08,111.50,100.0,100.0
2022/09,54.80,100.0,100.0
2022/10,101.60,100.0,100.0
2022/11,,56.6,56.7
2022/12,75.80,100.0,100.0
2023/01,114.00,100.0,100.0
2023/02,83.80,100.0,100.0
2023/03,146.60,100.0,100.0
2023/04,125.50,100.0,100.0
2023/05,111.20,100.0,100.0
2023/06,103.20,100.0,100.0
2023/07,136.60,100.0,100.0
2023/08,95.80,100.0,100.0
2023/09,36.60,99.8,100.0
2023/10,52.80,99.9,100.0
2023/11,108.90,100.0,100.0
2023/12,119.70,100.0,100.0
2024/01,66.70,100.0,100.0
2024/02,78.70,100.0,100.0
2024/03,86.80,100.0,100.0
2024/04,155.00,99.9,100.0
2024/05,152.80,100.0,100.0
2024/06,136.60,90.8,86.7
2024/07,102.40,100.0,100.0
2024/08,70.90,100.0,100.0
2024/09,75.50,100.0,100.0
2024/10,46.30,100.0,100.0
2024/11,42.50,100.0,100.0
2024/12,103.70,100.0,100.0
2025/01,,,
2025/02,,,
2025/03,,,
2025/04,,,
2025/05,,,
2025/06,,,
2025/07,,,
