Fecha,C05,C13,C19,C20,P34,P53,M5023,M5179
2000-06-01,55.50,,,,,,,
2000-07-01,20.20,,33.60,29.00,,,,
2000-08-01,4.10,,33.70,1.70,,,,
2000-09-01,62.90,,127.00,69.70,,,,
2000-10-01,65.90,,54.50,3.60,,,,
2000-11-01,,,75.00,10.70,,,,
2000-12-01,,,55.70,86.60,,,,
2001-01-01,,,132.50,43.50,,,,
2001-02-01,,,115.70,,,,,
2001-03-01,163.00,,119.70,98.40,,,,
2001-04-01,54.00,,96.90,13.00,,,,
2001-05-01,,,126.20,18.50,,,,
2001-06-01,,,32.00,12.10,,,,
2001-07-01,29.70,,43.20,13.30,,,,
2001-08-01,0.20,,0.70,0.40,,,,
2001-09-01,75.70,,,47.20,,,,
2001-10-01,,,,1.60,,,,
2001-11-01,,,132.20,35.20,,,,
2001-12-01,109.50,,212.80,30.70,,,,
2002-01-01,26.70,,111.90,35.50,,,,
2002-02-01,61.10,,53.30,35.70,,,,
2002-03-01,108.20,,168.20,96.70,,,,
2002-04-01,223.40,,174.50,,,,,
2002-05-01,,,,,,,,
2002-06-01,,,,,,,,
2002-07-01,,,,,,,,
2002-08-01,,,,,,,,
2002-09-01,,,,,,,,
2002-10-01,,,120.30,,,,,
2002-11-01,,,182.70,,,,,
2002-12-01,,,203.50,,,,,
2003-01-01,,,63.50,,50.88,,,
2003-02-01,87.70,,127.20,,115.68,,,
2003-03-01,102.00,,118.80,,150.00,,,
2003-04-01,,,,,78.96,,,
2003-05-01,,,97.60,,180.24,,,
2003-06-01,,,90.00,,145.68,,,
2003-07-01,,,9.70,,214.32,,,
2003-08-01,2.30,,70.70,,54.72,,,
2003-09-01,,,73.00,,91.68,,,
2003-10-01,,,103.20,,64.32,,,
2003-11-01,139.70,,212.20,,47.52,,,
2003-12-01,113.00,,74.20,57.20,90.72,,,
2004-01-01,49.70,,23.60,38.00,11.28,,,
2004-02-01,28.30,,35.70,,56.80,,,
2004-03-01,53.40,,49.70,37.70,151.68,,,
2004-04-01,183.50,,110.20,49.50,121.92,,,
2004-05-01,118.60,,112.90,42.30,138.48,,,
2004-06-01,7.20,,9.80,7.30,184.80,,,
2004-07-01,,,39.60,12.40,,,,
2004-08-01,,,14.50,1.00,,,,
2004-09-01,68.30,,113.40,51.40,,,,
2004-10-01,69.10,,151.90,,,,,
2004-11-01,105.30,,139.00,,,,,
2004-12-01,98.50,,135.30,,47.04,,,
2005-01-01,28.70,,,,10.08,,,
2005-02-01,119.80,,131.70,,80.64,,,
2005-03-01,97.00,,177.10,87.40,86.16,,,
2005-04-01,67.10,,117.90,65.70,153.84,,,
2005-05-01,28.50,,58.80,26.80,78.00,,,
2005-06-01,22.80,,53.90,11.90,158.16,,,
2005-07-01,,,48.40,11.20,,,,
2005-08-01,,,20.30,5.80,,,,
2005-09-01,24.70,,81.30,44.30,,,,
2005-10-01,105.10,,85.70,87.30,,,,
2005-11-01,42.10,,110.10,39.60,,,,
2005-12-01,58.00,,120.60,,,,,
2006-01-01,,,,,76.32,,,
