Fecha,C05,C13,C19,C20
2000-01-01,,,,
2000-02-01,,,,
2000-03-01,,,,
2000-04-01,,,,
2000-05-01,,,,
2000-06-01,179.718444,,,
2000-07-01,186.173468,,,
2000-08-01,209.800329,,,
2000-09-01,194.475806,,,
2000-10-01,231.110968,,,
2000-11-01,,,,
2000-12-01,,,,
2001-01-01,,,,
2001-02-01,198.335730,,,
2001-03-01,174.206909,,,
2001-04-01,182.625333,,,
2001-05-01,170.655968,,,
2001-06-01,176.748306,,,
2001-07-01,,,,
2001-08-01,234.654610,,,
2001-09-01,191.818944,,,
2001-10-01,255.288078,,,
2001-11-01,191.344222,,,
2001-12-01,194.723857,,,
2002-01-01,,,,
2002-02-01,175.470833,,,
2002-03-01,176.129625,,,
2002-04-01,164.568569,,,
2002-05-01,185.238723,,,
2002-06-01,199.933653,,,
2002-07-01,205.796036,,,
2002-08-01,239.122796,,,
2002-09-01,228.885556,,,
2002-10-01,200.892151,,,
2002-11-01,,,,
2002-12-01,,,,
2003-01-01,,,,
2003-02-01,211.563796,,,
2003-03-01,,,,
2003-04-01,,,,
2003-05-01,,,,
2003-06-01,,,,
2003-07-01,,,,
2003-08-01,,,,
2003-09-01,,,,
2003-10-01,,,,
2003-11-01,190.394820,,,
2003-12-01,184.349892,,,
2004-01-01,220.266343,,,
2004-02-01,,,,
2004-03-01,193.771452,,,
2004-04-01,163.910070,,,
2004-05-01,174.369983,,,
2004-06-01,,,,
2004-07-01,,,,
2004-08-01,,,,
2004-09-01,,,,
2004-10-01,,,,
2004-11-01,,,,
2004-12-01,,,,
2005-01-01,,,,
2005-02-01,,,,
2005-03-01,,,,
2005-04-01,,,,
2005-05-01,,,,
2005-06-01,,,,
2005-07-01,,,,
2005-08-01,,,,
2005-09-01,,,,
2005-10-01,,,,
2005-11-01,,,,
2005-12-01,,,,
2006-01-01,,,,
2006-02-01,,,,
2006-03-01,,,,
2006-04-01,,,,
2006-05-01,,,,
2006-06-01,,,,
2006-07-01,,,,
2006-08-01,,,,
2006-09-01,,,,
2006-10-01,,,,
2006-11-01,,,,
2006-12-01,,,,
2007-01-01,,,,
2007-02-01,,,,
2007-03-01,,,,
2007-04-01,,,,
2007-05-01,,,,
2007-06-01,,,,
2007-07-01,,,,
2007-08-01,,,,
2007-09-01,,,,
2007-10-01,,,,
2007-11-01,,,,
2007-12-01,,,,
2008-01-01,,,,
2008-02-01,,,,
2008-03-01,,,,
2008-04-01,,,,
2008-05-01,,,,
2008-06-01,,,,
2008-07-01,,,,
2008-08-01,,,,
2008-09-01,,,,
2008-10-01,,,,
2008-11-01,,,,
2008-12-01,,,,
2009-01-01,,,,
2009-02-01,,,,
2009-03-01,,,,
2009-04-01,,,,
2009-05-01,,,,
2009-06-01,,,,
2009-07-01,,,,
2009-08-01,,,,
2009-09-01,,,,
2009-10-01,,,,
2009-11-01,,,,
2009-12-01,,,,
2010-01-01,,,,
2010-02-01,,,,
2010-03-01,,,,
2010-04-01,,,,
2010-05-01,160.760350,,,
2010-06-01,155.818778,,,
2010-07-01,177.124234,,,
2010-08-01,187.606801,,,
2010-09-01,199.726278,,,
2010-10-01,,,,
2010-11-01,,,,
2010-12-01,,,,
2011-01-01,,,,
2011-02-01,163.016243,,,
2011-03-01,159.799007,,,
2011-04-01,134.250146,,,
2011-05-01,186.725948,,,
2011-06-01,170.283853,,,
2011-07-01,157.247157,,,
2011-08-01,211.491736,,,
2011-09-01,207.056787,,,
2011-10-01,,,,
2011-11-01,,,,
2011-12-01,166.003858,,,
2012-01-01,139.711790,,,
