Fecha,Consumo_m3,Precipitacion_mm,Poblacion
2005-01-01,1472.23,2.92,100000
2005-01-02,1472.23,2.92,100000
2005-01-03,1472.23,2.92,100000
2005-01-04,1472.23,2.92,100000
2005-01-05,1472.23,2.92,100000
2005-01-06,1472.23,2.92,100000
2005-01-07,1472.23,2.92,100000
2005-01-08,1472.23,2.92,100000
2005-01-09,1472.23,2.92,100000
2005-01-10,1472.23,2.92,100000
2005-01-11,1472.23,2.92,100000
2005-01-12,1472.23,2.92,100000
2005-01-13,1472.23,2.92,100000
2005-01-14,1472.23,2.92,100000
2005-01-15,1472.23,2.92,100000
2005-01-16,1472.23,2.92,100000
2005-01-17,1472.23,2.92,100000
2005-01-18,1472.23,2.92,100000
2005-01-19,1472.23,2.92,100000
2005-01-20,1472.23,2.92,100000
2005-01-21,1472.23,2.92,100000
2005-01-22,1472.23,2.92,100000
2005-01-23,1472.23,2.92,100000
2005-01-24,1472.23,2.92,100000
2005-01-25,1472.23,2.92,100000
2005-01-26,1472.23,2.92,100000
2005-01-27,1472.23,2.92,100000
2005-01-28,1472.23,2.92,100000
2005-01-29,1472.23,2.92,100000
2005-01-30,1472.23,2.92,100000
2005-01-31,1472.23,2.92,100000
2005-02-01,1620.18,3.14,100000
2005-02-02,1620.18,3.14,100000
2005-02-03,1620.18,3.14,100000
2005-02-04,1620.18,3.14,100000
2005-02-05,1620.18,3.14,100000
2005-02-06,1620.18,3.14,100000
2005-02-07,1620.18,3.14,100000
2005-02-08,1620.18,3.14,100000
2005-02-09,1620.18,3.14,100000
2005-02-10,1620.18,3.14,100000
2005-02-11,1620.18,3.14,100000
2005-02-12,1620.18,3.14,100000
2005-02-13,1620.18,3.14,100000
2005-02-14,1620.18,3.14,100000
2005-02-15,1620.18,3.14,100000
2005-02-16,1620.18,3.14,100000
2005-02-17,1620.18,3.14,100000
2005-02-18,1620.18,3.14,100000
2005-02-19,1620.18,3.14,100000
2005-02-20,1620.18,3.14,100000
2005-02-21,1620.18,3.14,100000
2005-02-22,1620.18,3.14,100000
2005-02-23,1620.18,3.14,100000
2005-02-24,1620.18,3.14,100000
2005-02-25,1620.18,3.14,100000
2005-02-26,1620.18,3.14,100000
2005-02-27,1620.18,3.14,100000
2005-02-28,1620.18,3.14,100000
2005-03-01,1430.23,3.53,100000
2005-03-02,1430.23,3.53,100000
2005-03-03,1430.23,3.53,100000
2005-03-04,1430.23,3.53,100000
2005-03-05,1430.23,3.53,100000
2005-03-06,1430.23,3.53,100000
2005-03-07,1430.23,3.53,100000
2005-03-08,1430.23,3.53,100000
2005-03-09,1430.23,3.53,100000
2005-03-10,1430.23,3.53,100000
2005-03-11,1430.23,3.53,100000
2005-03-12,1430.23,3.53,100000
2005-03-13,1430.23,3.53,100000
2005-03-14,1430.23,3.53,100000
2005-03-15,1430.23,3.53,100000
2005-03-16,1430.23,3.53,100000
2005-03-17,1430.23,3.53,100000
2005-03-18,1430.23,3.53,100000
2005-03-19,1430.23,3.53,100000
2005-03-20,1430.23,3.53,100000
2005-03-21,1430.23,3.53,100000
2005-03-22,1430.23,3.53,100000
2005-03-23,1430.23,3.53,100000
2005-03-24,1430.23,3.53,100000
2005-03-25,1430.23,3.53,100000
2005-03-26,1430.23,3.53,100000
2005-03-27,1430.23,3.53,100000
2005-03-28,1430.23,3.53,100000
2005-03-29,1430.23,3.53,100000
2005-03-30,1430.23,3.53,100000
2005-03-31,1430.23,3.53,100000
2005-04-01,1699.17,2.07,100000
2005-04-02,1699.17,2.07,100000
2005-04-03,1699.17,2.07,100000
